genome	rl	damagelevel	covbin	noContigs	totallength	alignmentlength	softcliplength
Adentalis	long	4	5	116	3463932	3207603	256323
Msmithii	short	9	3	241	1029953	1025538	4414
Adentalis	short	5	4	381	3119820	3071144	48676
Tforsythia	long	9	1	1	2603	2314	289
Adentalis	short	6	2	0	0	0	0
Msmithii	medium	8	4	60	1797342	1768495	28846
Msmithii	medium	8	6	36	1816645	1697177	119464
Msmithii	short	9	0	0	0	0	0
Tforsythia	medium	8	2	29	85541	85030	511
Tforsythia	medium	3	0	0	0	0	0
Msmithii	medium	9	1	0	0	0	0
Adentalis	medium	4	3	503	2591206	2552276	38927
Adentalis	short	2	6	284	3237610	3150788	86819
Msmithii	short	9	2	0	0	0	0
Adentalis	medium	4	2	14	42554	41246	1308
Adentalis	long	4	2	171	576779	558073	18664
Adentalis	short	5	1	0	0	0	0
Tforsythia	medium	4	0	0	0	0	0
Tforsythia	long	1	0	0	0	0	0
Tforsythia	long	8	1	0	0	0	0
Msmithii	medium	3	7	34	1818435	1707300	111130
Tforsythia	short	8	2	3	8160	7981	179
Tforsythia	short	8	4	233	3068479	3057534	10923
Tforsythia	long	0	0	0	0	0	0
Msmithii	medium	8	1	0	0	0	0
Msmithii	short	9	1	0	0	0	0
Tforsythia	long	9	3	306	3079909	2978982	100880
Tforsythia	medium	5	1	0	0	0	0
Msmithii	medium	1	0	0	0	0	0
Msmithii	medium	1	1	0	0	0	0
Tforsythia	long	7	0	0	0	0	0
Msmithii	short	7	0	0	0	0	0
Adentalis	short	6	0	0	0	0	0
Msmithii	short	7	1	0	0	0	0
Adentalis	long	6	2	171	557127	541177	15950
Adentalis	short	3	3	394	1536974	1523231	13731
Adentalis	long	4	0	0	0	0	0
Msmithii	medium	8	7	35	1818151	1708615	109529
Msmithii	medium	5	7	36	1815777	1798634	17137
Msmithii	medium	9	3	234	1628406	1618871	9534
Tforsythia	medium	8	7	125	3245850	2939075	306696
Tforsythia	short	0	3	451	2042285	2035797	6487
Msmithii	short	9	6	56	1788222	1782732	5490
Adentalis	short	2	7	284	3244913	3150511	94401
Adentalis	long	6	3	376	3179327	3105346	73975
Tforsythia	long	1	6	111	3258383	2943898	314392
Tforsythia	short	8	5	156	3106320	3007950	98347
Adentalis	long	4	3	373	3191688	3064549	127131
Tforsythia	medium	0	5	130	3229095	3020898	208136
Msmithii	medium	1	4	59	1792804	1785610	7193
Msmithii	short	5	0	0	0	0	0
Adentalis	short	2	5	294	3234037	3128551	105486
Adentalis	short	1	5	292	3237588	3131013	106575
Adentalis	medium	6	6	139	3445235	3164610	280625
Adentalis	short	3	0	0	0	0	0
Adentalis	long	3	2	174	571349	560066	11283
Msmithii	short	8	3	232	1020183	1016574	3608
